================== FINAL RH REPORT ==================
Source trace: /home/daweix3/hammulator//prace/60_if_then_else-plus_console-hammulator_trace.ulator_trace.txt
Total Access Count (All Rows): 1344

--------------- PIM OPERATIONS & TIME ---------------
Total AP Operations:          64 | Est. Time: 2944 ns
Total AAP Operations:        384 | Est. Time: 23040 ns
-----------------------------------------------------
Total Est. PIM Execution Time: 25984 ns (0.025984 ms)

--------------- REG_FILE ROWS (200 rows) ---------------
Row   65 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   66 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   67 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   68 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   69 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   70 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   71 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   72 | Accesses:          2 | Bitflips: 1 | Refresh: 0
Row   73 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   74 | Accesses:          2 | Bitflips: 3 | Refresh: 0
Row   75 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   76 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   77 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   78 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   79 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   80 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   81 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   82 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   83 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   84 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   85 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   86 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row   87 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   88 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   89 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   90 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   91 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   92 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   93 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   94 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   95 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   96 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   97 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   98 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row   99 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  100 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  101 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  102 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  103 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  104 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  105 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  106 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  107 | Accesses:         64 | Bitflips: 0 | Refresh: 0
Row  108 | Accesses:          0 | Bitflips: 6 | Refresh: 0
Row  109 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  110 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  111 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  112 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  113 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  114 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  115 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  116 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  117 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  118 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  119 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  120 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  121 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  122 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  123 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  124 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  125 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  126 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  127 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  128 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  129 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  130 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  131 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  132 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  133 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  134 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  135 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  136 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  137 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  138 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  139 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  140 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  141 | Accesses:          2 | Bitflips: 0 | Refresh: 0
Row  142 | Accesses:          0 | Bitflips: 5 | Refresh: 0
Row  143 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  144 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  145 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  146 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  147 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  148 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  149 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  150 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  151 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  152 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  153 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  154 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  155 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  156 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  157 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  158 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  159 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  160 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  161 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  162 | Accesses:          0 | Bitflips: 0 | Refresh: 0
